ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
255,Howard Elementary School,625,Elementary School,912.395.3925,576.0,54.0,4.0,28.0,22.0,37.0,9.0
256,White Bluff Elementary School,625,Elementary School,912.395.3325,560.0,49.0,2.0,41.0,37.0,18.0,2.0
257,Beach High School,625,High School,912.395.5330,1004.0,60.0,12.0,52.0,17.0,20.0,0.0
258,Gould Elementary School,625,Elementary School,912.395.5400,723.0,56.0,2.0,48.0,30.0,14.0,5.0
259,Hubert Middle School,625,Middle School,912.395.5235,452.0,37.0,27.0,30.0,27.0,14.0,3.0
260,Largo-Tibet Elementary School,625,Elementary School,912.395.3450,602.0,47.0,2.0,51.0,34.0,9.0,4.0
261,Andrea B Williams Elementary School,625,Elementary School,912.395.2500,510.0,39.0,10.0,46.0,31.0,8.0,5.0
262,Groves High School,625,High School,912.395.2520,689.0,53.0,4.0,45.0,25.0,19.0,8.0
263,Isle of Hope School,625,Elementary School,912.395.6555,774.0,64.0,0.0,44.0,42.0,14.0,0.0
264,Pooler Elementary School,625,Elementary School,912.395.3625,420.0,38.0,5.0,47.0,32.0,13.0,3.0
265,Bloomingdale Elementary School,625,Elementary School,912.395.3680,335.0,31.0,19.0,48.0,19.0,13.0,0.0
266,Ellis Elementary School,625,Elementary School,912.395.5470,437.0,43.0,2.0,42.0,30.0,26.0,0.0
267,Haven Elementary School,625,Elementary School,912.395.6501,385.0,33.0,3.0,52.0,27.0,15.0,3.0
268,Hesse School,625,Elementary School,912.395.6440,1275.0,87.0,3.0,47.0,31.0,17.0,1.0
269,Port Wentworth Elementary School,625,Elementary School,912.395.6742,473.0,48.0,10.0,54.0,21.0,15.0,0.0
270,Windsor Forest Elementary School,625,Elementary School,912.395.3353,456.0,45.0,9.0,51.0,24.0,16.0,0.0
271,Butler Elementary School,625,Elementary School,912.395.2525,460.0,37.0,5.0,46.0,30.0,19.0,0.0
272,Hodge Elementary School,625,Elementary School,912.395.5200,436.0,34.0,18.0,56.0,15.0,9.0,3.0
273,Jenkins High School,625,High School,912.395.6300,1052.0,71.0,3.0,28.0,37.0,27.0,6.0
274,Mercer Middle School,625,Middle School,912.395.6700,430.0,24.0,21.0,38.0,29.0,13.0,0.0
275,Jacob G. Smith Elementary School,625,Elementary School,912.395.6530,496.0,43.0,5.0,23.0,61.0,7.0,5.0
276,Windsor Forest High School,625,High School,912.395.3400,1013.0,71.0,7.0,42.0,34.0,14.0,3.0
277,Chattahoochee County Education Center,626,Elementary School,706.989.3648,260.0,18.0,17.0,56.0,28.0,0.0,0.0
278,Chattahoochee County Middle School,626,Middle School,706.989.3678,166.0,13.0,15.0,54.0,15.0,15.0,0.0
279,Chattahoochee County High School,626,High School,706.989.3678,450.0,33.0,6.0,46.0,9.0,24.0,15.0
280,Leroy Massey Elementary School,627,Elementary School,706.857.6660,767.0,56.0,7.0,43.0,27.0,16.0,7.0
281,Chattooga High School,627,High School,706.857.2402,726.0,50.0,4.0,20.0,48.0,22.0,6.0
282,Lyerly Elementary School,627,Elementary School,706.895.3323,351.0,29.0,0.0,21.0,41.0,31.0,7.0
283,Summerville Middle School,627,Middle School,706.857.2444,361.0,34.0,9.0,12.0,44.0,32.0,3.0
284,Menlo Elementary School,627,Elementary School,706.862.2323,326.0,28.0,7.0,21.0,50.0,14.0,7.0
285,Carmel Elementary School,628,Elementary School,770.704.1184,993.0,68.0,3.0,24.0,37.0,29.0,7.0
286,Woodstock Elementary School,628,Elementary School,770.704.1320,1151.0,75.0,1.0,33.0,48.0,13.0,4.0
287,William G. Hasty Sr. Elementary School,628,Elementary School,770.721.6555,835.0,87.0,6.0,43.0,36.0,15.0,1.0
288,Creekview High School,628,High School,770.704.4400,1996.0,118.0,5.0,39.0,34.0,20.0,3.0
289,Avery Elementary School,628,Elementary School,770.704.1343,1034.0,63.0,3.0,29.0,40.0,29.0,0.0
290,Mill Creek Middle School,628,Middle School,770.721.6400,1413.0,87.0,5.0,29.0,44.0,21.0,2.0
291,River Ridge High School,628,High School,770.721.6500,1901.0,107.0,3.0,48.0,36.0,11.0,2.0
292,Indian Knoll Elementary,628,Elementary School,770.721.6600,917.0,59.0,2.0,27.0,42.0,27.0,2.0
293,Etowah High School,628,High School,770.721.3120,2450.0,134.0,6.0,35.0,40.0,18.0,2.0
294,E. T. Booth Middle School,628,Middle School,770.721.5500,1822.0,109.0,5.0,38.0,35.0,19.0,4.0
295,Johnston Elementary School,628,Elementary School,770.721.8461,577.0,41.0,17.0,39.0,32.0,7.0,5.0
296,Dean Rusk Middle School,628,Middle School,770.704.1135,1543.0,96.0,1.0,31.0,43.0,21.0,4.0
297,Boston Elementary School,628,Elementary School,770.704.1400,586.0,40.0,0.0,43.0,40.0,13.0,5.0
298,Mountain Road Elementary School,628,Elementary School,770.721.8520,442.0,36.0,3.0,28.0,42.0,28.0,0.0
299,Sequoyah High School,628,High School,770.721.3200,1983.0,110.0,2.0,35.0,40.0,21.0,3.0
300,Sixes Elementary School,628,Elementary School,770.721.5840,732.0,51.0,4.0,29.0,33.0,26.0,8.0
301,Bascomb Elementary School,628,Elementary School,770.721.6630,905.0,61.0,2.0,18.0,44.0,30.0,7.0
302,Woodstock High School,628,High School,770.721.3000,2334.0,133.0,6.0,33.0,38.0,22.0,1.0
303,R. M. Moore Elementary School,628,Elementary School,770.704.1212,830.0,75.0,5.0,37.0,33.0,21.0,3.0
304,Holly Springs Elementary School,628,Elementary School,770.704.1420,732.0,53.0,2.0,36.0,36.0,23.0,4.0
305,Liberty Elementary School,628,Elementary School,770.704.1300,1095.0,73.0,1.0,18.0,56.0,22.0,3.0
306,Freedom Middle School,628,Middle School,770.704.1100,1139.0,72.0,11.0,29.0,24.0,33.0,3.0
307,Ball Ground Elementary School,628,Elementary School,770.721.5900,525.0,39.0,3.0,31.0,31.0,28.0,8.0
308,Teasley Middle School,628,Middle School,770.721.5420,1590.0,110.0,1.0,33.0,41.0,22.0,3.0
309,Woodstock Middle School,628,Middle School,770.721.3060,1241.0,77.0,5.0,35.0,44.0,12.0,3.0
310,Creekland Middle School,628,Middle School,770.704.4460,1539.0,88.0,5.0,39.0,27.0,28.0,1.0
311,Little River Elem.,628,Elementary School,770.721.5940,1357.0,83.0,1.0,34.0,43.0,21.0,1.0
312,Clark Creek Elementary School,628,Elementary School,770.721.5800,1208.0,82.0,5.0,44.0,45.0,6.0,0.0
313,Arnold Mill Elementary School,628,Elementary School,770.721.6470,795.0,52.0,6.0,39.0,42.0,12.0,2.0
314,Free Home Elementary School,628,Elementary School,770.721.5960,324.0,24.0,0.0,42.0,42.0,17.0,0.0
315,J. Knox Elementary,628,Elementary School,770.704.1265,1003.0,67.0,2.0,24.0,46.0,25.0,3.0
316,Clayton Elementary School,628,Elementary School,770.721.5860,256.0,19.0,0.0,26.0,47.0,26.0,0.0
317,Oak Grove Elementary School,628,Elementary School,770.721.8550,455.0,43.0,12.0,33.0,35.0,19.0,2.0
318,Hickory Flat Elementary School,628,Elementary School,770.704.1444,605.0,40.0,5.0,35.0,45.0,15.0,0.0
319,Cherokee High School,628,High School,770.721.5300,2770.0,165.0,4.0,35.0,44.0,15.0,2.0
320,Macedonia Elementary School,628,Elementary School,770.704.1372,753.0,45.0,2.0,33.0,47.0,16.0,2.0
321,Cedar Shoals High School,629,High School,706.546.5375,1422.0,103.0,9.0,45.0,31.0,14.0,2.0
322,Classic City High School,629,High School,706.353.2323,76.0,12.0,0.0,25.0,33.0,42.0,0.0
323,Alps Road Elementary School,629,Elementary School,706.548.2261,337.0,39.0,26.0,28.0,33.0,10.0,3.0
324,Judia Jackson Harris Elementary,629,Elementary School,706.357.5203,416.0,50.0,12.0,40.0,36.0,8.0,4.0
325,Timothy Elementary School,629,Elementary School,706.549.0107,526.0,56.0,11.0,43.0,36.0,9.0,2.0
326,Cleveland Road Elementary School,629,Elementary School,706.357.5333,269.0,31.0,19.0,39.0,26.0,13.0,3.0
327,Coile Middle School,629,Middle School,706.357.5318,735.0,56.0,16.0,30.0,36.0,11.0,7.0
328,Gaines Elementary School,629,Elementary School,706.357.5333,475.0,52.0,19.0,50.0,19.0,12.0,0.0
329,Howard B. Stroud Elementary School,629,Elementary School,706.369.1893,338.0,44.0,7.0,48.0,36.0,7.0,2.0
330,Burney-Harris-Lyons Middle School,629,Middle School,706.548.7208,692.0,49.0,14.0,47.0,33.0,6.0,0.0
331,Whit Davis Road Elementary School,629,Elementary School,706.369.1036,457.0,52.0,15.0,29.0,39.0,17.0,0.0
332,Clarke Middle School,629,Middle School,706.543.6547,789.0,59.0,14.0,44.0,29.0,10.0,3.0
333,Whitehead Road Elementary School,629,Elementary School,706.548.7296,725.0,64.0,5.0,55.0,28.0,11.0,2.0
334,Barnett Shoals Elementary School,629,Elementary School,706.357.5334,504.0,53.0,15.0,26.0,30.0,26.0,2.0
335,Winterville Elementary School,629,Elementary School,706.357.5222,390.0,49.0,6.0,43.0,27.0,25.0,0.0
336,Barrow Elementary School,629,Elementary School,706.543.2676,501.0,53.0,13.0,43.0,28.0,11.0,4.0
337,Fowler Drive Elementary School,629,Elementary School,706.357.5330,441.0,48.0,17.0,50.0,23.0,10.0,0.0
338,Oglethorpe Avenue Elementary School,629,Elementary School,706.549.0762,507.0,60.0,12.0,47.0,28.0,12.0,2.0
339,Chase Street Elementary School,629,Elementary School,706.543.1081,541.0,52.0,12.0,39.0,42.0,6.0,2.0
340,Hilsman Middle School,629,Middle School,706.548.7281,683.0,61.0,8.0,46.0,31.0,13.0,2.0
341,Clarke Central High School,629,High School,706.357.5200,1771.0,106.0,9.0,38.0,37.0,14.0,2.0
342,Clay County Middle School,630,Middle School,229.768.2234,62.0,9.0,0.0,11.0,33.0,44.0,11.0
343,Clay County Elementary,630,Elementary School,229.768.2234,122.0,14.0,7.0,29.0,21.0,21.0,21.0
344,M. D. Roberts Middle School,631,Middle School,678.479.0100,967.0,59.0,5.0,41.0,37.0,15.0,2.0
345,Callaway Elementary School,631,Elementary School,678.479.2600,832.0,49.0,0.0,55.0,22.0,20.0,2.0
346,Mundy's Mill High School,631,High School,678.817.3000,1691.0,80.0,6.0,54.0,23.0,14.0,4.0
347,Thurgood Marshall Elementary School,631,Elementary School,404.675.8019,840.0,54.0,4.0,63.0,20.0,9.0,4.0
348,Jonesboro Middle School,631,Middle School,678.610.4331,1010.0,51.0,0.0,51.0,28.0,18.0,4.0
349,Sequoyah Middle School,631,Middle School,770.515.7524,863.0,52.0,14.0,52.0,25.0,10.0,0.0
350,Mount Zion Primary,631,Elementary School,770.473.2700,632.0,36.0,3.0,53.0,31.0,14.0,0.0
351,Elite Scholars Academy School,631,High School,770.472.2823,664.0,33.0,3.0,46.0,33.0,15.0,3.0
352,Charles R. Drew High School,631,High School,770.473.2700,1555.0,75.0,9.0,53.0,27.0,9.0,1.0
353,Eddie White Middle School,631,Middle School,770.472.2441,780.0,40.0,8.0,55.0,23.0,10.0,5.0
354,Morrow Middle School,631,Middle School,770.473.2700,957.0,57.0,14.0,44.0,28.0,12.0,2.0
355,Kilpatrick Elementary School,631,Elementary School,770.473.2790,743.0,43.0,7.0,37.0,33.0,19.0,5.0
356,Mundys Mill Middle School,631,Middle School,770.473.2880,827.0,48.0,4.0,42.0,46.0,6.0,2.0
357,Brown Elementary School,631,Elementary School,770.473.2785,799.0,47.0,4.0,40.0,30.0,21.0,4.0
358,Mount Zion Elementary School,631,Elementary School,770.968.2935,624.0,38.0,3.0,34.0,34.0,26.0,3.0
359,Adamson Middle School,631,Middle School,770.968.2925,568.0,41.0,5.0,39.0,34.0,20.0,2.0
360,Pointe South Elementary School,631,Elementary School,770.473.2900,610.0,38.0,3.0,26.0,47.0,16.0,8.0
361,Lovejoy High School,631,High School,770.473.2920,1819.0,82.0,9.0,29.0,39.0,20.0,4.0
362,Lovejoy Middle School,631,Middle School,770.473.2933,536.0,37.0,3.0,49.0,27.0,14.0,8.0
363,River's Edge Elementary School,631,Elementary School,770.460.2340,636.0,35.0,0.0,43.0,40.0,14.0,3.0
364,Kendrick Middle School,631,Middle School,770.472.8400,794.0,48.0,4.0,48.0,33.0,13.0,2.0
365,Hawthorne Elementary School,631,Elementary School,770.472.7669,890.0,52.0,2.0,40.0,39.0,17.0,2.0
366,Roberta T. Smith Elementary School,631,Elementary School,770.960.5750,980.0,62.0,8.0,55.0,26.0,8.0,3.0
367,Harper Elementary School,631,Elementary School,678.479.2654,863.0,53.0,8.0,51.0,34.0,8.0,0.0
368,Martin Luther King Jr. Elementary School,631,Elementary School,770.991.4651,598.0,38.0,0.0,53.0,34.0,11.0,3.0
369,Kemp Primary,631,Elementary School,678.610.4300,607.0,38.0,3.0,50.0,26.0,18.0,3.0
370,Rex Mill Middle School,631,Middle School,770.960.6559,1132.0,60.0,5.0,67.0,20.0,8.0,0.0
371,Martha Ellen Stilwell School for the Performing Arts,631,High School,770.473.2785,597.0,34.0,12.0,32.0,32.0,24.0,0.0
372,Oliver Elementary School,631,Elementary School,770.994.4010,649.0,44.0,11.0,41.0,21.0,14.0,14.0
373,Pointe South Middle School,631,Middle School,770.473.2890,846.0,52.0,8.0,48.0,29.0,8.0,8.0
374,Mount Zion High School,631,High School,770.473.2940,1307.0,68.0,3.0,43.0,38.0,9.0,7.0
375,Lake Ridge Elementary School,631,Elementary School,770.907.5170,592.0,37.0,16.0,46.0,27.0,8.0,3.0
376,James Jackson Elementary School,631,Elementary School,678.610.4401,600.0,37.0,5.0,43.0,35.0,11.0,5.0
377,Kemp Elem School,631,Elementary School,770.473.2870,664.0,35.0,6.0,51.0,34.0,6.0,3.0
378,Unidos Dual Language School,631,Elementary School,404.361.3494,417.0,30.0,3.0,43.0,50.0,0.0,3.0
379,Riverdale High School,631,High School,770.473.2905,1206.0,62.0,8.0,42.0,31.0,18.0,2.0
380,Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning,631,High School,770.515.7601,934.0,26.0,4.0,23.0,50.0,15.0,8.0
381,Eddie White Elementary School,631,Elementary School,770.472.2850,720.0,37.0,5.0,49.0,38.0,8.0,0.0
382,Kay R Pace Elementary School of the Arts,631,Elementary School,678.479.0101,473.0,25.0,0.0,40.0,40.0,20.0,0.0
384,Anderson Elementary School,631,Elementary School,404.362.3820,534.0,35.0,6.0,54.0,29.0,11.0,0.0
385,East Clayton Elementary School,631,Elementary School,404.362.3885,591.0,36.0,6.0,39.0,47.0,6.0,3.0
386,Forest Park High School,631,High School,404.362.3890,1666.0,79.0,8.0,33.0,41.0,19.0,0.0
387,Jonesboro High School,631,High School,770.473.2855,1388.0,64.0,3.0,48.0,33.0,13.0,3.0
388,Lee Street Elementary School,631,Elementary School,770.473.2815,573.0,36.0,11.0,53.0,19.0,11.0,6.0
389,Northcutt Elementary School,631,Elementary School,770.994.4020,719.0,38.0,13.0,55.0,16.0,8.0,8.0
390,Tara Elementary School,631,Elementary School,770.968.2915,699.0,43.0,2.0,30.0,51.0,14.0,2.0
391,Arnold Elementary School,631,Elementary School,770.473.2800,567.0,34.0,0.0,35.0,21.0,38.0,6.0
392,North Clayton High School,631,High School,770.994.4035,1163.0,52.0,12.0,50.0,23.0,15.0,0.0
393,Forest Park Middle School,631,Middle School,404.362.3840,700.0,44.0,14.0,36.0,41.0,9.0,0.0
394,Morrow Elementary School,631,Elementary School,770.968.2900,523.0,36.0,0.0,33.0,44.0,22.0,0.0
395,Riverdale Elementary School,631,Elementary School,770.994.4015,747.0,45.0,4.0,42.0,33.0,11.0,9.0
396,West Clayton Elementary School,631,Elementary School,770.994.4005,577.0,31.0,7.0,52.0,29.0,10.0,3.0
397,Fountain Elementary School,631,Elementary School,404.362.3875,569.0,41.0,10.0,59.0,20.0,10.0,2.0
398,Babb Middle School,631,Middle School,404.362.3880,1027.0,56.0,5.0,54.0,27.0,14.0,0.0
399,North Clayton Middle School,631,Middle School,770.994.4025,873.0,45.0,9.0,56.0,22.0,9.0,4.0
400,Haynie Elementary School,631,Elementary School,770.968.2905,906.0,52.0,8.0,46.0,31.0,15.0,0.0
401,Riverdale Middle School,631,Middle School,770.994.4045,779.0,44.0,11.0,50.0,30.0,5.0,5.0
402,Church Street Elementary School,631,Elementary School,770.994.4000,803.0,49.0,2.0,57.0,22.0,12.0,6.0
403,Lake City Elementary School,631,Elementary School,404.362.3855,561.0,35.0,3.0,34.0,40.0,23.0,0.0
404,Morrow High School,631,High School,404.362.3865,1771.0,86.0,6.0,50.0,29.0,14.0,1.0
405,Suder Elementary School,631,Elementary School,770.473.2820,664.0,40.0,3.0,60.0,18.0,18.0,3.0
406,Edmonds Elementary School,631,Elementary School,404.362.3830,518.0,37.0,0.0,65.0,27.0,5.0,3.0
407,Huie Elementary School,631,Elementary School,404.362.3825,748.0,49.0,10.0,39.0,31.0,16.0,4.0
408,William M. McGarrah Elementary School,631,Elementary School,770.968.2910,651.0,41.0,7.0,39.0,39.0,12.0,2.0
409,Swint Elementary School,631,Elementary School,770.473.2780,715.0,46.0,0.0,72.0,15.0,4.0,9.0
410,Clinch County Elementary School,632,Elementary School,912.487.5385,510.0,41.0,5.0,32.0,44.0,15.0,5.0
411,Clinch County Middle School,632,Middle School,912.487.5385,292.0,29.0,14.0,35.0,38.0,14.0,0.0
412,Clinch County High School,632,High School,912.487.5366,462.0,32.0,0.0,28.0,50.0,22.0,0.0
413,Kennesaw Mountain High School,633,High School,678.594.8190,1899.0,123.0,7.0,31.0,35.0,24.0,4.0
414,Riverside Intermediate School,633,Elementary School,770.819.2553,1099.0,104.0,11.0,54.0,29.0,7.0,0.0
415,Kell High School,633,High School,678.494.7844,1526.0,89.0,6.0,34.0,45.0,11.0,5.0
416,Bullard Elementary School,633,Elementary School,678.594.8720,794.0,65.0,2.0,34.0,25.0,35.0,5.0
417,McCall Primary School,633,Elementary School,770.975.6775,316.0,35.0,6.0,29.0,29.0,37.0,0.0
418,Pickett's Mill Elementary,633,Elementary School,770.975.7172,712.0,50.0,2.0,16.0,54.0,26.0,2.0
419,East Side Elementary School,633,Elementary School,770.578.7200,1225.0,78.0,5.0,32.0,50.0,10.0,3.0
420,Clarkdale Elementary School,633,Elementary School,770.819.2422,741.0,64.0,8.0,52.0,27.0,13.0,2.0
421,Mableton Elementary School,633,Elementary School,770.819.2513,1041.0,79.0,6.0,56.0,29.0,9.0,0.0
422,Birney Elementary School,633,Elementary School,678.842.6824,784.0,66.0,2.0,26.0,44.0,23.0,6.0
423,Walton High School,633,High School,770.578.3225,2685.0,143.0,1.0,29.0,41.0,23.0,6.0
424,Mabry Middle School,633,Middle School,770.928.5546,950.0,55.0,4.0,26.0,38.0,31.0,2.0
425,Still Elementary School,633,Elementary School,678.594.8287,716.0,65.0,5.0,25.0,48.0,20.0,3.0
426,Tritt Elementary School,633,Elementary School,770.642.5630,884.0,64.0,3.0,22.0,47.0,23.0,5.0
427,McCleskey Middle School,633,Middle School,770.928.5560,684.0,46.0,4.0,35.0,41.0,17.0,2.0
428,Garrison Mill Elementary School,633,Elementary School,770.642.5600,671.0,47.0,2.0,17.0,53.0,26.0,2.0
429,Keheley Elementary School,633,Elementary School,678.494.7836,482.0,37.0,0.0,32.0,54.0,8.0,5.0
430,Pope High School,633,High School,770.578.7900,1941.0,109.0,5.0,27.0,39.0,23.0,7.0
431,Baker Elementary School,633,Elementary School,770.975.6629,809.0,63.0,3.0,30.0,49.0,14.0,3.0
432,Dowell Elementary School,633,Elementary School,678.594.8059,977.0,73.0,4.0,34.0,41.0,14.0,7.0
433,Varner Elementary School,633,Elementary School,770.222.3775,772.0,60.0,2.0,37.0,37.0,20.0,5.0
434,Harrison High School,633,High School,678.594.8104,2365.0,115.0,4.0,31.0,40.0,23.0,3.0
435,Hayes Elementary School,633,Elementary School,678.594.8127,862.0,62.0,0.0,36.0,44.0,21.0,0.0
436,Vaughan Elementary School,633,Elementary School,678.594.8298,743.0,63.0,3.0,25.0,38.0,32.0,2.0
437,Chalker Elementary School,633,Elementary School,678.494.7621,668.0,47.0,4.0,26.0,40.0,23.0,6.0
438,Nickajack Elementary School,633,Elementary School,678.842.5814,1134.0,79.0,0.0,43.0,43.0,14.0,0.0
439,Lindley Middle School,633,Middle School,770.819.2496,1108.0,68.0,3.0,52.0,38.0,6.0,2.0
440,Kemp Elementary School,633,Elementary School,678.594.8158,944.0,69.0,1.0,23.0,54.0,20.0,1.0
441,Pitner Elementary School,633,Elementary School,678.594.8320,849.0,63.0,0.0,24.0,41.0,30.0,5.0
442,Austell Elementary School,633,Elementary School,770.819.5804,460.0,40.0,5.0,40.0,25.0,25.0,5.0
443,Allatoona High School,633,High School,770.975.6503,1731.0,91.0,4.0,24.0,43.0,28.0,1.0
444,Smyrna Elementary School,633,Elementary School,678.842.6741,1036.0,80.0,6.0,36.0,36.0,14.0,8.0
445,Kincaid Elementary School,633,Elementary School,770.578.7238,677.0,52.0,4.0,17.0,52.0,25.0,2.0
446,Dodgen Middle School,633,Middle School,770.578.2726,1253.0,70.0,0.0,29.0,44.0,26.0,1.0
447,Mount Bethel Elementary School,633,Elementary School,770.578.7248,1118.0,76.0,5.0,36.0,37.0,17.0,5.0
448,Pine Mountain Middle School,633,Middle School,678.594.8252,691.0,46.0,11.0,41.0,33.0,13.0,2.0
449,Dickerson Middle School,633,Middle School,770.578.2710,1303.0,74.0,0.0,35.0,39.0,20.0,5.0
450,Lewis Elementary School,633,Elementary School,770.975.6673,518.0,46.0,2.0,28.0,44.0,22.0,4.0
451,Mountain View Elementary School,633,Elementary School,770.578.7265,812.0,56.0,11.0,32.0,38.0,18.0,2.0
452,Addison Elementary School,633,Elementary School,770.578.2700,586.0,45.0,2.0,40.0,36.0,20.0,2.0
453,Campbell Middle School,633,Middle School,678.842.6873,1582.0,92.0,11.0,49.0,32.0,9.0,0.0
454,Shallowford Falls Elementary School,633,Elementary School,770.642.5610,694.0,57.0,2.0,40.0,35.0,16.0,7.0
455,Ford Elementary School,633,Elementary School,678.594.8092,820.0,60.0,0.0,27.0,35.0,32.0,7.0
456,Smitha Middle School,633,Middle School,678.594.8267,1039.0,68.0,3.0,49.0,29.0,16.0,3.0
457,Frey Elementary School,633,Elementary School,770.975.6655,802.0,58.0,2.0,38.0,33.0,22.0,5.0
458,Cheatham Hill Elementary School,633,Elementary School,678.594.8034,1058.0,79.0,1.0,22.0,39.0,32.0,6.0
459,Durham Middle School,633,Middle School,770.975.6641,1092.0,59.0,0.0,41.0,41.0,19.0,0.0
460,Acworth Intermediate School,633,Elementary School,770.975.6600,664.0,51.0,4.0,43.0,28.0,22.0,4.0
461,Kennesaw Charter School,633,Elementary School,678.290.9628,519.0,39.0,10.0,69.0,13.0,5.0,3.0
462,Riverside Primary School,633,Elementary School,770.819.5851,508.0,49.0,10.0,27.0,43.0,20.0,0.0
463,Lindley 6th Grade Academy,633,Middle School,770.819.2414,602.0,34.0,9.0,38.0,41.0,9.0,3.0
